Quantity	Name	Value	Package	
1	R1	1,5K	0207	
1	D5	1N4148	0207_STEHEND_RM2,54	
1	D1	1N4148	DO35	
4	C2,C3,C5,C6	1µF	C_ELKO_GRID2_DIAM5	
1	R2	2,2K	0207	
1	C1	2,2µF	C_ELKO_GRID2_DIAM5	
1	U3	6N136	DIL8	
1	Q2	11,0592Meg	HC49/U	
2	C9,C10	18pF	2,54X5,08_GRID2,54	
3	C4,C7,C8	100NF	C_GRID5,08	
3	R4,R6,R9	470	0207	
1	U1	7805	TO220	
1	U4	ATMEGA162(DIL40)	DIL40	
2	JP4,JP5	C1x5	1X05	
1	KL2	DCC	TERMINAL-BLOCK2	
1	JP1	DE-9 F	SUB-D_9POLE_SOCKET_LYING	
1	JP2	DE-9 M	SUB-D_9POLE_PIN_LYING	
1	D4	green	LED_3MM_GREEN	
1	U2	MAX232(DIL)	DIL16	
1	KL1	Power supply	TERMINAL-BLOCK2	
3	S2,S3,S4	Pushbutton_quicklift	PUSHBUTTON_QUICKLIFT	
1	D2	red	LED_3MM_RED	
1	S1	Reset switch	PUSHBUTTON_QUICKLIFT	
1	JP3	SPI	1X05	
1	D3	yellow	LED_3MM_YELLOW	
